configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima
temple_actividad_sin_tope,11,2,3-6-2-5-0-4-1-7-8,7-2-3-1-5-6-4-8-0,12,4,17401,False,False,,16
temple_actividad_sin_tope,12,2,4-1-5-2-6-3-0-7-8,1-2-3-4-5-6-7-8-0,10,0,7305,True,False,6024.0,18
temple_actividad_sin_tope,13,2,4-1-8-3-5-7-2-6-0,1-2-3-4-5-6-7-8-0,16,0,5585,True,False,4888.0,24
temple_actividad_sin_tope,14,2,4-3-2-1-0-6-7-5-8,1-2-3-0-5-6-7-8-4,6,3,17401,False,False,,18
temple_actividad_sin_tope,15,2,4-3-7-6-2-5-0-1-8,1-2-3-4-5-6-7-8-0,14,0,6771,True,False,5696.0,26
temple_actividad_sin_tope,16,2,4-5-0-1-2-7-8-3-6,1-2-3-4-5-6-7-8-0,12,0,7062,True,False,5846.0,22
temple_actividad_sin_tope,17,2,5-1-2-6-4-7-3-0-8,1-2-3-4-5-6-7-8-0,15,0,3670,True,False,3335.0,23
temple_actividad_sin_tope,18,2,5-1-7-8-6-3-2-4-0,1-2-3-4-5-6-7-8-0,16,0,10130,True,False,7190.0,24
temple_actividad_sin_tope,19,2,6-0-1-8-4-7-3-2-5,1-2-3-4-5-6-7-8-0,19,0,4892,True,False,4305.0,27
temple_actividad_sin_tope,20,2,6-3-7-5-1-4-8-2-0,1-2-3-4-5-6-7-8-0,16,0,9099,True,False,6826.0,24
temple_actividad_sin_tope,21,2,6-8-2-3-1-5-4-0-7,1-2-3-4-5-6-7-8-0,15,0,7668,True,False,6201.0,21
temple_actividad_sin_tope,22,2,7-0-8-6-3-2-1-4-5,1-2-3-4-5-6-7-8-0,17,0,8029,True,False,6339.0,23
temple_actividad_sin_tope,23,2,7-1-8-2-0-3-5-4-6,1-0-3-4-5-6-7-8-2,14,3,17401,False,False,,22
temple_actividad_sin_tope,24,2,7-3-2-1-0-6-8-5-4,1-2-3-4-5-6-7-8-0,10,0,6610,True,False,5602.0,22
temple_actividad_sin_tope,25,2,7-8-3-4-1-2-0-5-6,1-2-3-0-5-6-7-8-4,10,3,17401,False,False,,22
temple_actividad_sin_tope,26,2,8-1-2-3-6-0-7-5-4,1-2-3-4-5-6-7-8-0,13,0,7088,True,False,5911.0,23
temple_actividad_sin_tope,27,2,8-1-7-3-0-2-6-5-4,4-2-3-5-1-6-7-8-0,20,4,17401,False,False,,22
temple_actividad_sin_tope,28,2,8-4-1-3-5-7-0-2-6,1-2-3-4-5-6-7-8-0,16,0,7227,True,False,5874.0,26
temple_actividad_sin_tope,29,2,8-6-4-5-0-3-7-1-2,1-0-3-4-5-6-7-8-2,16,3,17401,False,False,,26
temple_actividad_sin_tope,0,3,0-1-6-3-4-7-8-2-5,1-2-3-4-5-6-7-8-0,14,0,4552,True,False,4082.0,22
