configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima,estado_partida,cantidad_intentos,resuelto_sin_reinicio
estocastico,24,1,7-3-2-1-0-6-8-5-4,7-3-2-1-5-6-0-8-4,10,8,10,False,False,,22,,,
estocastico,25,1,7-8-3-4-1-2-0-5-6,7-8-3-4-1-2-0-5-6,10,10,3,False,False,,22,,,
estocastico,26,1,8-1-2-3-6-0-7-5-4,1-2-0-8-3-6-7-5-4,13,8,18,False,False,,23,,,
estocastico,27,1,8-1-7-3-0-2-6-5-4,1-3-7-8-2-4-6-5-0,20,14,22,False,False,,22,,,
estocastico,28,1,8-4-1-3-5-7-0-2-6,8-4-1-3-5-7-0-2-6,16,16,3,False,False,,26,,,
estocastico,29,1,8-6-4-5-0-3-7-1-2,0-8-4-5-6-3-7-1-2,16,14,10,False,False,,26,,,
estocastico,0,2,0-1-6-3-4-7-8-2-5,3-1-0-4-2-6-8-5-7,14,8,20,False,False,,22,,,
estocastico,1,2,0-6-7-8-4-3-1-2-5,0-6-7-8-4-3-1-2-5,16,16,3,False,False,,28,,,
estocastico,2,2,1-0-3-2-7-4-8-5-6,1-0-3-2-7-4-8-5-6,9,9,4,False,False,,21,,,
estocastico,3,2,1-6-8-3-5-0-4-7-2,1-0-6-3-5-8-4-7-2,13,11,9,False,False,,17,,,
estocastico,4,2,1-7-4-8-2-3-0-6-5,1-7-4-0-2-3-8-6-5,14,13,6,False,False,,20,,,
estocastico,5,2,2-3-1-7-4-5-8-6-0,2-3-1-4-5-6-7-8-0,10,4,20,False,False,,16,,,
estocastico,6,2,2-7-1-6-4-8-0-3-5,2-7-1-6-4-8-0-3-5,16,16,3,False,False,,26,,,
estocastico,7,2,2-8-4-6-1-3-0-5-7,2-8-4-6-1-3-0-5-7,14,14,3,False,False,,22,,,
estocastico,8,2,2-8-7-6-3-1-5-0-4,2-8-7-6-3-1-5-4-0,19,18,6,False,False,,25,,,
estocastico,9,2,3-2-1-7-5-4-8-6-0,3-2-1-0-5-4-7-8-6,10,7,11,False,False,,22,,,
estocastico,10,2,3-5-4-6-2-7-8-0-1,3-5-4-6-2-7-0-8-1,17,16,6,False,False,,27,,,
estocastico,11,2,3-6-2-5-0-4-1-7-8,3-2-0-5-6-4-1-7-8,12,10,10,False,False,,16,,,
estocastico,12,2,4-1-5-2-6-3-0-7-8,4-1-5-2-6-3-7-8-0,10,8,8,False,False,,18,,,
estocastico,13,2,4-1-8-3-5-7-2-6-0,4-1-8-3-5-7-0-2-6,16,14,8,False,False,,24,,,
estocastico,14,2,4-3-2-1-0-6-7-5-8,4-3-2-1-5-6-7-8-0,6,4,10,False,False,,18,,,
estocastico,15,2,4-3-7-6-2-5-0-1-8,4-3-7-6-2-5-1-8-0,14,12,8,False,False,,26,,,
estocastico,16,2,4-5-0-1-2-7-8-3-6,4-5-0-1-2-7-8-3-6,12,12,3,False,False,,22,,,
estocastico,17,2,5-1-2-6-4-7-3-0-8,5-1-2-6-4-7-0-3-8,15,14,6,False,False,,23,,,
estocastico,18,2,5-1-7-8-6-3-2-4-0,5-1-7-8-6-3-2-4-0,16,16,3,False,False,,24,,,
estocastico,19,2,6-0-1-8-4-7-3-2-5,6-1-0-8-4-7-3-2-5,19,18,6,False,False,,27,,,
estocastico,20,2,6-3-7-5-1-4-8-2-0,6-3-7-5-1-4-8-2-0,16,16,3,False,False,,24,,,
estocastico,21,2,6-8-2-3-1-5-4-0-7,6-8-2-3-1-5-4-7-0,15,14,6,False,False,,21,,,
estocastico,22,2,7-0-8-6-3-2-1-4-5,7-2-3-6-8-5-1-4-0,17,10,23,False,False,,23,,,
estocastico,23,2,7-1-8-2-0-3-5-4-6,7-1-8-2-4-3-0-5-6,14,12,10,False,False,,22,,,
estocastico,24,2,7-3-2-1-0-6-8-5-4,7-3-2-1-5-6-8-4-0,10,8,10,False,False,,22,,,
estocastico,25,2,7-8-3-4-1-2-0-5-6,7-8-3-4-1-2-0-5-6,10,10,3,False,False,,22,,,
estocastico,26,2,8-1-2-3-6-0-7-5-4,8-1-2-3-5-6-7-4-0,13,10,13,False,False,,23,,,
estocastico,27,2,8-1-7-3-0-2-6-5-4,8-1-7-3-2-4-6-5-0,20,18,10,False,False,,22,,,
estocastico,28,2,8-4-1-3-5-7-0-2-6,8-4-1-3-5-7-0-2-6,16,16,3,False,False,,26,,,
estocastico,29,2,8-6-4-5-0-3-7-1-2,0-8-4-5-6-3-7-1-2,16,14,10,False,False,,26,,,
estocastico,0,3,0-1-6-3-4-7-8-2-5,1-0-6-3-4-7-8-2-5,14,13,6,False,False,,22,,,
estocastico,1,3,0-6-7-8-4-3-1-2-5,0-6-7-8-4-3-1-2-5,16,16,3,False,False,,28,,,
estocastico,2,3,1-0-3-2-7-4-8-5-6,1-0-3-2-7-4-8-5-6,9,9,4,False,False,,21,,,
estocastico,3,3,1-6-8-3-5-0-4-7-2,1-0-6-3-5-8-4-7-2,13,11,9,False,False,,17,,,
estocastico,4,3,1-7-4-8-2-3-0-6-5,1-7-4-0-2-3-8-6-5,14,13,6,False,False,,20,,,
estocastico,5,3,2-3-1-7-4-5-8-6-0,2-3-1-4-5-6-7-8-0,10,4,20,False,False,,16,,,
estocastico,6,3,2-7-1-6-4-8-0-3-5,2-7-1-6-4-8-0-3-5,16,16,3,False,False,,26,,,
estocastico,7,3,2-8-4-6-1-3-0-5-7,2-8-4-6-1-3-0-5-7,14,14,3,False,False,,22,,,
estocastico,8,3,2-8-7-6-3-1-5-0-4,2-8-7-6-3-1-0-5-4,19,18,6,False,False,,25,,,
estocastico,9,3,3-2-1-7-5-4-8-6-0,3-2-1-0-5-4-7-8-6,10,7,11,False,False,,22,,,
estocastico,10,3,3-5-4-6-2-7-8-0-1,3-5-4-6-2-7-0-8-1,17,16,6,False,False,,27,,,
estocastico,11,3,3-6-2-5-0-4-1-7-8,3-6-2-5-4-0-1-7-8,12,11,8,False,False,,16,,,
estocastico,12,3,4-1-5-2-6-3-0-7-8,4-1-5-2-6-3-7-8-0,10,8,8,False,False,,18,,,
estocastico,13,3,4-1-8-3-5-7-2-6-0,4-1-8-3-5-7-0-2-6,16,14,8,False,False,,24,,,
estocastico,14,3,4-3-2-1-0-6-7-5-8,4-3-2-1-5-6-7-8-0,6,4,10,False,False,,18,,,
estocastico,15,3,4-3-7-6-2-5-0-1-8,4-3-7-6-2-5-1-8-0,14,12,8,False,False,,26,,,
estocastico,16,3,4-5-0-1-2-7-8-3-6,4-5-0-1-2-7-8-3-6,12,12,3,False,False,,22,,,
estocastico,17,3,5-1-2-6-4-7-3-0-8,5-1-2-6-4-0-3-8-7,15,13,9,False,False,,23,,,
estocastico,18,3,5-1-7-8-6-3-2-4-0,5-1-7-8-6-3-2-4-0,16,16,3,False,False,,24,,,
estocastico,19,3,6-0-1-8-4-7-3-2-5,0-6-1-8-4-7-3-2-5,19,18,6,False,False,,27,,,
estocastico,20,3,6-3-7-5-1-4-8-2-0,6-3-7-5-1-4-8-2-0,16,16,3,False,False,,24,,,
estocastico,21,3,6-8-2-3-1-5-4-0-7,6-8-2-3-1-5-4-7-0,15,14,6,False,False,,21,,,
estocastico,22,3,7-0-8-6-3-2-1-4-5,7-2-3-6-8-5-1-4-0,17,10,23,False,False,,23,,,
estocastico,23,3,7-1-8-2-0-3-5-4-6,7-1-8-2-4-3-0-5-6,14,12,10,False,False,,22,,,
estocastico,24,3,7-3-2-1-0-6-8-5-4,7-3-2-1-5-6-8-4-0,10,8,10,False,False,,22,,,
estocastico,25,3,7-8-3-4-1-2-0-5-6,7-8-3-4-1-2-0-5-6,10,10,3,False,False,,22,,,
estocastico,26,3,8-1-2-3-6-0-7-5-4,8-1-2-3-6-4-7-5-0,13,12,6,False,False,,23,,,
estocastico,27,3,8-1-7-3-0-2-6-5-4,8-1-0-3-2-7-6-5-4,20,18,10,False,False,,22,,,
estocastico,28,3,8-4-1-3-5-7-0-2-6,8-4-1-3-5-7-0-2-6,16,16,3,False,False,,26,,,
estocastico,29,3,8-6-4-5-0-3-7-1-2,8-6-4-5-1-3-7-2-0,16,14,10,False,False,,26,,,
estocastico,0,4,0-1-6-3-4-7-8-2-5,3-1-6-4-7-5-8-2-0,14,10,15,False,False,,22,,,
estocastico,1,4,0-6-7-8-4-3-1-2-5,0-6-7-8-4-3-1-2-5,16,16,3,False,False,,28,,,
estocastico,2,4,1-0-3-2-7-4-8-5-6,1-0-3-2-7-4-8-5-6,9,9,4,False,False,,21,,,
estocastico,3,4,1-6-8-3-5-0-4-7-2,1-6-8-3-5-2-4-7-0,13,12,6,False,False,,17,,,
estocastico,4,4,1-7-4-8-2-3-0-6-5,1-7-4-0-2-3-8-6-5,14,13,6,False,False,,20,,,
estocastico,5,4,2-3-1-7-4-5-8-6-0,2-3-1-4-5-6-7-8-0,10,4,20,False,False,,16,,,
estocastico,6,4,2-7-1-6-4-8-0-3-5,2-7-1-6-4-8-0-3-5,16,16,3,False,False,,26,,,
estocastico,7,4,2-8-4-6-1-3-0-5-7,2-8-4-6-1-3-0-5-7,14,14,3,False,False,,22,,,
estocastico,8,4,2-8-7-6-3-1-5-0-4,2-8-7-6-3-1-0-5-4,19,18,6,False,False,,25,,,
estocastico,9,4,3-2-1-7-5-4-8-6-0,3-2-1-0-5-4-7-8-6,10,7,11,False,False,,22,,,
estocastico,10,4,3-5-4-6-2-7-8-0-1,3-5-4-6-2-7-0-8-1,17,16,6,False,False,,27,,,
estocastico,11,4,3-6-2-5-0-4-1-7-8,3-6-2-1-5-4-7-8-0,12,8,15,False,False,,16,,,
estocastico,12,4,4-1-5-2-6-3-0-7-8,4-1-5-2-6-3-7-8-0,10,8,8,False,False,,18,,,
estocastico,13,4,4-1-8-3-5-7-2-6-0,4-1-0-3-5-8-2-6-7,16,14,8,False,False,,24,,,
estocastico,14,4,4-3-2-1-0-6-7-5-8,4-3-2-1-5-6-7-8-0,6,4,10,False,False,,18,,,
estocastico,15,4,4-3-7-6-2-5-0-1-8,4-3-7-6-2-5-1-8-0,14,12,8,False,False,,26,,,
estocastico,16,4,4-5-0-1-2-7-8-3-6,4-5-0-1-2-7-8-3-6,12,12,3,False,False,,22,,,
estocastico,17,4,5-1-2-6-4-7-3-0-8,5-1-2-6-4-7-0-3-8,15,14,6,False,False,,23,,,
estocastico,18,4,5-1-7-8-6-3-2-4-0,5-1-7-8-6-3-2-4-0,16,16,3,False,False,,24,,,
estocastico,19,4,6-0-1-8-4-7-3-2-5,0-6-1-8-4-7-3-2-5,19,18,6,False,False,,27,,,
estocastico,20,4,6-3-7-5-1-4-8-2-0,6-3-7-5-1-4-8-2-0,16,16,3,False,False,,24,,,
estocastico,21,4,6-8-2-3-1-5-4-0-7,6-8-2-3-1-5-4-7-0,15,14,6,False,False,,21,,,
estocastico,22,4,7-0-8-6-3-2-1-4-5,7-3-8-6-4-2-1-5-0,17,14,13,False,False,,23,,,
estocastico,23,4,7-1-8-2-0-3-5-4-6,7-1-8-5-2-3-4-0-6,14,11,13,False,False,,22,,,
estocastico,24,4,7-3-2-1-0-6-8-5-4,7-3-2-1-5-6-8-4-0,10,8,10,False,False,,22,,,
estocastico,25,4,7-8-3-4-1-2-0-5-6,7-8-3-4-1-2-0-5-6,10,10,3,False,False,,22,,,
estocastico,26,4,8-1-2-3-6-0-7-5-4,1-2-0-8-3-6-7-5-4,13,8,18,False,False,,23,,,
estocastico,27,4,8-1-7-3-0-2-6-5-4,8-1-7-3-2-4-6-5-0,20,18,10,False,False,,22,,,
estocastico,28,4,8-4-1-3-5-7-0-2-6,8-4-1-3-5-7-0-2-6,16,16,3,False,False,,26,,,
estocastico,29,4,8-6-4-5-0-3-7-1-2,0-8-4-5-6-3-7-1-2,16,14,10,False,False,,26,,,
estocastico,0,5,0-1-6-3-4-7-8-2-5,3-1-0-4-7-6-8-2-5,14,10,15,False,False,,22,,,
estocastico,1,5,0-6-7-8-4-3-1-2-5,0-6-7-8-4-3-1-2-5,16,16,3,False,False,,28,,,
estocastico,2,5,1-0-3-2-7-4-8-5-6,1-0-3-2-7-4-8-5-6,9,9,4,False,False,,21,,,
estocastico,3,5,1-6-8-3-5-0-4-7-2,1-0-6-3-5-8-4-7-2,13,11,9,False,False,,17,,,
estocastico,4,5,1-7-4-8-2-3-0-6-5,1-7-4-0-2-3-8-6-5,14,13,6,False,False,,20,,,
estocastico,5,5,2-3-1-7-4-5-8-6-0,2-3-1-4-5-6-7-8-0,10,4,20,False,False,,16,,,
estocastico,6,5,2-7-1-6-4-8-0-3-5,2-7-1-6-4-8-0-3-5,16,16,3,False,False,,26,,,
estocastico,7,5,2-8-4-6-1-3-0-5-7,2-8-4-6-1-3-0-5-7,14,14,3,False,False,,22,,,
estocastico,8,5,2-8-7-6-3-1-5-0-4,2-8-7-6-3-1-0-5-4,19,18,6,False,False,,25,,,
estocastico,9,5,3-2-1-7-5-4-8-6-0,3-2-1-0-5-4-7-8-6,10,7,11,False,False,,22,,,
estocastico,10,5,3-5-4-6-2-7-8-0-1,3-5-4-6-2-7-0-8-1,17,16,6,False,False,,27,,,
estocastico,11,5,3-6-2-5-0-4-1-7-8,3-6-2-1-5-4-7-8-0,12,8,15,False,False,,16,,,
estocastico,12,5,4-1-5-2-6-3-0-7-8,4-1-5-2-6-3-7-8-0,10,8,8,False,False,,18,,,
estocastico,13,5,4-1-8-3-5-7-2-6-0,4-1-0-3-5-8-2-6-7,16,14,8,False,False,,24,,,
estocastico,14,5,4-3-2-1-0-6-7-5-8,4-3-2-1-5-6-7-8-0,6,4,10,False,False,,18,,,
estocastico,15,5,4-3-7-6-2-5-0-1-8,4-3-7-6-2-5-1-8-0,14,12,8,False,False,,26,,,
estocastico,16,5,4-5-0-1-2-7-8-3-6,4-5-0-1-2-7-8-3-6,12,12,3,False,False,,22,,,
estocastico,17,5,5-1-2-6-4-7-3-0-8,5-1-2-6-4-7-0-3-8,15,14,6,False,False,,23,,,
estocastico,18,5,5-1-7-8-6-3-2-4-0,5-1-7-8-6-3-2-4-0,16,16,3,False,False,,24,,,
estocastico,19,5,6-0-1-8-4-7-3-2-5,6-1-0-8-4-7-3-2-5,19,18,6,False,False,,27,,,
estocastico,20,5,6-3-7-5-1-4-8-2-0,6-3-7-5-1-4-8-2-0,16,16,3,False,False,,24,,,
